iter	Passed	Remaining
0	2	4763
1	5	5028
2	8	5373
3	10	5328
4	13	5235
5	15	5255
6	18	5271
7	20	5202
8	23	5168
9	26	5195
10	28	5190
11	31	5163
12	33	5156
13	36	5163
14	39	5190
15	41	5174
16	44	5172
17	46	5141
18	49	5115
19	51	5125
20	54	5103
21	56	5111
22	59	5125
23	62	5131
24	64	5127
25	67	5122
26	70	5124
27	72	5134
28	75	5135
29	78	5136
30	80	5139
31	83	5115
32	85	5113
33	88	5100
34	90	5103
35	93	5103
36	96	5112
37	98	5107
38	101	5094
39	103	5095
40	106	5100
41	109	5107
42	112	5112
43	115	5117
44	117	5121
45	120	5120
46	123	5129
47	126	5130
48	128	5133
49	131	5139
50	134	5143
51	137	5142
52	140	5153
53	142	5150
54	145	5147
55	148	5143
56	150	5136
57	153	5129
58	155	5127
59	158	5118
60	160	5104
61	163	5096
62	165	5088
63	168	5086
64	170	5084
65	173	5081
66	176	5081
67	178	5073
68	181	5070
69	183	5063
70	186	5058
71	188	5053
72	191	5044
73	193	5047
74	196	5038
75	198	5036
76	201	5033
77	204	5028
78	206	5022
79	208	5014
80	211	5011
81	214	5019
82	217	5021
83	219	5017
84	222	5014
85	225	5011
86	227	5007
87	230	5003
88	233	5010
89	235	5005
90	238	5005
91	240	4997
92	243	4992
93	245	4985
94	248	4985
95	250	4977
96	253	4968
97	255	4965
98	258	4962
99	260	4956
100	263	4953
101	265	4949
102	268	4944
103	271	4941
104	273	4938
105	276	4935
106	278	4931
107	281	4927
108	283	4924
109	286	4919
110	289	4919
111	291	4917
112	294	4913
113	296	4910
114	299	4902
115	301	4897
116	304	4895
117	306	4892
118	309	4888
119	311	4883
120	313	4875
121	317	4881
122	319	4877
123	322	4874
124	324	4868
125	327	4865
126	329	4859
127	331	4853
128	334	4849
129	336	4843
130	339	4839
131	341	4833
132	344	4839
133	347	4837
134	349	4834
135	352	4828
136	354	4824
137	357	4818
138	359	4818
139	362	4811
140	364	4807
141	367	4805
142	369	4802
143	372	4797
144	374	4793
145	378	4802
146	380	4799
147	383	4795
148	385	4791
149	388	4791
150	390	4785
151	393	4785
152	396	4783
153	398	4779
154	401	4775
155	403	4770
156	406	4767
157	408	4762
158	411	4759
159	414	4763
160	416	4759
161	419	4756
162	421	4752
163	424	4748
164	426	4744
165	429	4743
166	432	4742
167	434	4737
168	436	4732
169	439	4728
170	441	4727
171	444	4724
172	447	4721
173	449	4717
174	452	4713
175	454	4710
176	456	4706
177	459	4703
178	461	4699
179	464	4695
180	466	4691
181	469	4687
182	472	4686
183	474	4682
184	476	4679
185	479	4676
186	481	4672
187	484	4667
188	486	4663
189	489	4659
190	491	4656
191	493	4651
192	496	4647
193	498	4644
194	501	4639
195	503	4634
196	505	4629
197	508	4626
198	510	4621
199	513	4617
200	515	4613
201	518	4610
202	520	4608
203	523	4604
204	525	4602
205	528	4599
206	530	4597
207	533	4593
208	535	4591
209	538	4588
210	540	4585
211	543	4581
212	545	4578
213	548	4574
214	550	4571
215	553	4568
216	555	4564
217	558	4561
218	560	4558
219	563	4561
220	566	4557
221	568	4554
222	571	4550
223	573	4547
224	575	4543
225	578	4541
226	581	4538
227	583	4538
228	586	4535
229	589	4532
230	591	4528
231	593	4525
232	596	4522
233	598	4517
234	600	4513
235	603	4511
236	606	4509
237	608	4505
238	611	4506
239	614	4505
240	616	4501
241	619	4499
242	622	4500
243	625	4499
244	628	4501
245	630	4494
246	633	4493
247	636	4494
248	638	4492
249	641	4491
250	644	4493
251	647	4493
252	650	4491
253	653	4490
254	655	4486
255	658	4484
256	660	4482
257	663	4482
258	666	4481
259	669	4482
260	672	4480
261	674	4477
262	677	4474
263	680	4474
264	683	4474
265	685	4471
266	688	4470
267	691	4470
268	694	4467
269	696	4462
270	698	4458
271	701	4454
272	703	4451
273	705	4447
274	709	4447
275	711	4446
276	714	4445
277	717	4442
278	720	4441
279	722	4438
280	725	4436
281	727	4434
282	730	4433
283	733	4430
284	735	4427
285	738	4424
286	740	4421
287	743	4418
288	745	4415
289	748	4411
290	750	4407
291	752	4403
292	755	4400
293	757	4397
294	759	4389
295	761	4386
296	764	4383
297	766	4380
298	769	4377
299	772	4375
300	774	4371
301	776	4368
302	779	4364
303	781	4360
304	784	4358
305	786	4354
306	789	4351
307	791	4348
308	794	4345
309	796	4344
310	799	4341
311	801	4338
312	804	4338
313	807	4335
314	809	4332
315	812	4330
316	815	4327
317	817	4324
318	820	4322
319	822	4319
320	825	4316
321	827	4313
322	830	4309
323	832	4306
324	835	4303
325	837	4302
326	840	4298
327	842	4295
328	845	4292
329	847	4289
330	849	4285
331	852	4282
332	854	4278
333	857	4275
334	859	4272
335	862	4269
336	864	4266
337	866	4262
338	869	4258
339	871	4255
340	873	4251
341	876	4249
342	879	4246
343	881	4244
344	884	4242
345	886	4239
346	889	4236
347	891	4233
348	894	4230
349	896	4226
350	899	4224
351	901	4221
352	904	4219
353	906	4216
354	909	4213
355	911	4211
356	914	4207
357	916	4204
358	919	4201
359	921	4197
360	923	4194
361	926	4191
362	928	4189
363	931	4186
364	934	4184
365	936	4181
366	939	4180
367	941	4177
368	944	4175
369	947	4173
370	950	4171
371	952	4169
372	955	4167
373	957	4164
374	960	4160
375	962	4157
376	965	4154
377	967	4153
378	970	4150
379	972	4147
380	975	4144
381	977	4141
382	980	4137
383	982	4134
384	984	4131
385	987	4128
386	989	4125
387	992	4122
388	994	4119
389	997	4116
390	999	4113
391	1001	4110
392	1004	4107
393	1006	4104
394	1009	4102
395	1012	4100
396	1014	4097
397	1017	4094
398	1019	4092
399	1022	4089
400	1024	4086
401	1027	4083
402	1029	4081
403	1032	4078
404	1034	4075
405	1037	4072
406	1040	4070
407	1042	4068
408	1045	4065
409	1047	4063
410	1050	4061
411	1053	4059
412	1055	4056
413	1058	4054
414	1061	4052
415	1063	4048
416	1065	4045
417	1068	4043
418	1070	4041
